time,FMIDPRICE,f2,f3,f4,f5,f6,f7,f8,f9,f10
2017-09-01 08:48:49.867007,10573.5,-52.0,-0.983606557377,-0.594976582101,-1.38598281405,0.0,-10.0,-18.0,0.0,-0.621206788213
2017-09-01 08:49:24.867179,10574.5,72.0,0.978947368421,0.90266920569,0.999793397316,0.0,-10.0,-23.0,-0.230883123408,-1.3477550274
2017-09-01 08:49:27.867319,10575.5,51.0,-0.916666666667,1.87936671493,0.998442430729,0.0,70.0,102.0,0.461766246817,3.72499882569
2017-09-01 08:49:31.992244,10574.5,-61.0,-0.943661971831,1.05944776829,0.68652811078,0.0,8.0,-17.0,0.0,-0.43273606925
2017-09-01 08:49:32.617210,10575.5,73.0,0.913043478261,2.08813211529,0.536627752539,0.0,2.0,50.0,0.0,2.77258872224
2017-09-01 08:49:57.242122,10576.5,-85.0,0.964912280702,-1.34918095577,-1.34258242944,0.0,58.0,-12.0,0.0,0.993154874513
2017-09-01 08:50:12.242125,10577.5,53.0,-0.984732824427,0.899727673886,1.28154097871,-1.0,91.0,58.0,0.881255243712,0.929955480622
2017-09-01 08:50:13.367241,10576.5,1.0,-0.984732824427,0.735508906684,-0.695206960138,-1.0,-1.0,-2.0,0.0,-0.116537816248
2017-09-01 08:50:29.367143,10577.5,54.0,0.983606557377,0.310433359359,1.42183313853,0.0,17.0,26.0,0.0,0.64451586829
2017-09-01 08:51:12.242270,10576.5,21.0,-0.975,-0.873259045897,-1.49995750301,-1.0,-17.0,44.0,-0.698809711876,1.71860454256
2017-09-01 08:51:55.867426,10575.5,-102.0,-0.975308641975,-0.862309491002,0.89053175958,0.0,-41.0,-31.0,-0.546964670382,-1.77949163954
2017-09-01 08:52:23.742286,10574.5,-61.0,0.945945945946,-0.846407669927,-0.803817511994,0.0,-66.0,-26.0,0.0,-0.425220627324
2017-09-01 08:52:32.867397,10573.5,-56.0,0.945945945946,-1.51514884309,-1.49994429778,0.0,-58.0,-78.0,-1.37227454112,-2.5491510919
2017-09-01 08:52:33.367385,10574.5,6.0,-0.969230769231,-1.03993751289,-0.910244889066,0.0,-2.0,-2.0,0.0,0.0
2017-09-01 08:52:36.117419,10573.5,-12.0,0.96992481203,-0.598114661362,-0.211328956861,0.0,-1.0,-7.0,0.0,0.0
2017-09-01 08:52:38.992409,10572.5,-87.0,0.984848484848,-0.578191722841,-1.1922410448,0.0,-62.0,-24.0,-0.285930539413,-0.285930539413
2017-09-01 08:52:40.117413,10573.5,15.0,0.98347107438,0.589335084087,-0.642094716836,0.0,0.0,3.0,0.0,0.0
2017-09-01 08:52:41.367411,10572.5,-14.0,0.983333333333,0.47917319769,-0.501863278602,0.0,-3.0,2.0,0.0,0.116537816248
2017-09-01 08:52:41.617292,10573.5,26.0,0.983333333333,0.465873539168,-0.585517895873,0.0,2.0,2.0,0.0,0.233075632496
2017-09-01 08:52:42.492385,10572.5,-10.0,0.963302752294,0.285957045725,-0.457515107721,0.0,-16.0,-1.0,-0.285930539413,0.0
2017-09-01 08:52:43.492286,10573.5,112.0,0.981481481481,0.55686456471,1.25564027095,0.0,1.0,4.0,0.0,-0.0437784619655
2017-09-01 08:52:46.492397,10574.5,28.0,-0.975609756098,0.337465172831,0.590436079583,0.0,2.0,-6.0,0.0,0.0
2017-09-01 08:52:49.992399,10573.5,42.0,0.98275862069,0.458960654531,0.519245265419,0.0,-8.0,-1.0,0.0,0.285930539413
2017-09-01 08:52:50.367301,10574.5,-12.0,-0.945945945946,0.17415391088,0.0,0.0,1.0,0.0,0.0,0.0
2017-09-01 08:52:51.117420,10573.5,-1.0,0.982300884956,-0.256566600096,0.872997882862,0.0,0.0,-1.0,0.0,0.0
2017-09-01 08:52:52.867426,10574.5,-4.0,-0.972602739726,-0.532119249543,0.182320321374,0.0,-1.0,-19.0,0.0,-0.650573653001
2017-09-01 08:52:53.617306,10573.5,9.0,0.981308411215,0.374250381702,0.574268409273,0.0,-7.0,0.0,0.0,0.0
2017-09-01 08:52:55.242452,10574.5,-1.0,0.981308411215,-0.492345957016,0.448732084959,0.0,6.0,0.0,0.0,0.0
2017-09-01 08:52:55.492288,10573.5,-9.0,0.980582524272,-0.515467022707,0.29421766871,0.0,-1.0,0.0,0.0,0.0
2017-09-01 08:52:58.492306,10574.5,-4.0,0.980582524272,-0.266055290707,0.413165656355,0.0,-2.0,-7.0,0.0,-0.393084787219
2017-09-01 08:53:00.117346,10573.5,-6.0,-0.974683544304,0.145050850373,0.725357790703,0.0,-2.0,0.0,0.0,0.0
2017-09-01 08:53:14.492336,10572.5,-62.0,0.983333333333,-0.466839552358,-1.49967898888,0.0,-14.0,-12.0,0.0,-0.116537816248
2017-09-01 08:53:25.492352,10571.5,-47.0,0.983333333333,-0.902624359393,-1.60925556445,0.0,-82.0,-81.0,-2.27795187633,-2.26296994699
2017-09-01 08:53:29.242473,10570.5,-61.0,0.978494623656,-1.9396709641,-1.4552483695,0.0,-72.0,-147.0,-1.71585632753,-6.90568410526
